#,district_info_id,indicator_value,indicator_unit,indicator_date,district_name,indicator_name
1,12013,-1446,чел.,2024-09-30,Ауэзовский район,Миграция населения - сальдо
2,10423,-1362,чел.,2024-06-30,Ауэзовский район,Миграция населения - сальдо
3,5809,-642,чел.,2024-03-31,Ауэзовский район,Миграция населения - сальдо
4,10485,-128,чел.,2024-06-30,Жетысуский район,Миграция населения - сальдо
5,5815,-64,чел.,2024-03-31,Жетысуский район,Миграция населения - сальдо
6,29,0,тг.,2024-09-30,Алмалинский район,Среднемесячная зарплата по организационно-правовым формам
7,617,0,ед.,2024-09-30,Наурызбайский район,ВУЗы
8,707,0,тг.,2024-09-30,Турксибский район,Среднемесячная зарплата по организационно-правовым формам
9,24431,0,ед.,2023-09-30,Наурызбайский район,ВУЗы
10,3703,0,ед.,2023-12-31,Медеуский район,ВУЗы
11,6146,0,ед.,2024-03-31,Бостандыкский район,Всего зарегистрированных субъектов малого предпринимательства (юрид. и физ. лица)
12,9917,0,ед.,2024-06-30,Бостандыкский район,Всего действующих крупных и средних промышленных предприятий
13,5668,0,чел.,2024-03-31,Жетысуский район,Умершие от убийств
14,5923,0,ед.,2024-03-31,Алмалинский район,Всего зарегистрированных субъектов малого предпринимательства (юрид. и физ. лица)
15,5431,0,ед.,2023-12-31,Медеуский район,ВУЗы
16,5702,0,чел.,2024-03-31,Наурызбайский район,Умершие от дорожно-транспортных происшествий
17,5834,0,ед.,2024-03-31,Ауэзовский район,Многоквартирные жилые дома
18,5865,0,ед.,2023-12-31,Наурызбайский район,ВУЗы
19,25558,0,кв.м,2023-09-30,Турксибский район,Многоквартирные жилые дома
20,9918,0,ед.,2024-06-30,Бостандыкский район,Всего зарегистрированных субъектов малого предпринимательства (юрид. и физ. лица)
21,23937,0,ед.,2023-03-31,Наурызбайский район,ВУЗы
22,25559,0,кв.м,2023-09-30,Турксибский район,Индивидуальные жилые дома
23,24184,0,ед.,2023-06-30,Наурызбайский район,ВУЗы
24,19384,0,кв.м,2023-09-30,Ауэзовский район,Индивидуальные жилые дома
25,21360,0,кв.м,2023-03-31,Жетысуский район,Индивидуальные жилые дома
26,21607,0,кв.м,2023-06-30,Жетысуский район,Индивидуальные жилые дома
27,5622,0,чел.,2024-03-31,Алмалинский район,Умершие от дорожно-транспортных происшествий
28,4569,0,ед.,2023-12-31,Наурызбайский район,ВУЗы
29,21854,0,кв.м,2023-09-30,Жетысуский район,Индивидуальные жилые дома
30,5001,0,ед.,2023-12-31,Наурызбайский район,ВУЗы
31,22101,0,кв.м,2023-12-31,Жетысуский район,Индивидуальные жилые дома
32,4135,0,ед.,2023-12-31,Медеуский район,ВУЗы
33,5662,0,чел.,2024-03-31,Жетысуский район,Умершие от стенокардии
34,10534,0,чел.,2024-06-30,Наурызбайский район,Умершие от стенокардии
35,11536,0,ед.,2024-06-30,Наурызбайский район,ВУЗы
36,23548,0,тг.,2022-12-31,Наурызбайский район,Среднемесячная зарплата по организационно-правовым формам
37,25312,0,кв.м,2023-06-30,Турксибский район,Индивидуальные жилые дома
38,23690,0,ед.,2022-12-31,Наурызбайский район,ВУЗы
39,16134,0,ед.,2022-12-31,Алатауский район,Количество действующих субъектов всего по району
40,9482,0,кв.м,2024-06-30,Алмалинский район,Индивидуальные жилые дома
41,22208,0,ед.,2023-12-31,Жетысуский район,ВУЗы
42,21961,0,ед.,2023-09-30,Жетысуский район,ВУЗы
43,21714,0,ед.,2023-06-30,Жетысуский район,ВУЗы
44,6592,0,ед.,2024-03-31,Наурызбайский район,Всего зарегистрированных субъектов малого предпринимательства (юрид. и физ. лица)
45,21467,0,ед.,2023-03-31,Жетысуский район,ВУЗы
46,21220,0,ед.,2022-12-31,Жетысуский район,ВУЗы
47,11080,0,ед.,2024-06-30,Жетысуский район,ВУЗы
48,10954,0,ед.,2024-06-30,Жетысуский район,Всего зарегистрированных субъектов малого предпринимательства (юрид. и физ. лица)
49,10953,0,ед.,2024-06-30,Жетысуский район,Всего действующих крупных и средних промышленных предприятий
50,6491,0,ед.,2024-03-31,Жетысуский район,ВУЗы
51,5863,0,ед.,2023-12-31,Жетысуский район,ВУЗы
52,24678,0,ед.,2023-12-31,Наурызбайский район,ВУЗы
53,5708,0,чел.,2024-03-31,Турксибский район,Умершие от гипертонической болезни
54,5710,0,чел.,2024-03-31,Турксибский район,Умершие от стенокардии
55,7380,0,чел.,2023-03-31,Алатауский район,Умершие  от самоубийств
56,7425,0,чел.,2023-03-31,Ауэзовский район,Умершие от убийств
57,7449,0,чел.,2023-03-31,Бостандыкский район,Умершие  от самоубийств
58,7471,0,чел.,2023-03-31,Жетысуский район,Умершие от убийств
59,7495,0,чел.,2023-03-31,Медеуский район,Умершие  от самоубийств
60,5620,0,чел.,2024-03-31,Алмалинский район,Умершие от убийств
61,4999,0,ед.,2023-12-31,Медеуский район,ВУЗы
62,4567,0,ед.,2023-12-31,Медеуский район,ВУЗы
63,5433,0,ед.,2023-12-31,Наурызбайский район,ВУЗы
64,10974,0,кв.м,2024-06-30,Жетысуский район,Индивидуальные жилые дома
65,7655,0,чел.,2023-06-30,Жетысуский район,Умершие от убийств
66,7839,0,чел.,2023-09-30,Жетысуский район,Умершие от убийств
67,10354,0,чел.,2024-06-30,Алмалинский район,Умершие от убийств
68,18643,0,кв.м,2022-12-31,Ауэзовский район,Индивидуальные жилые дома
69,18890,0,кв.м,2023-03-31,Ауэзовский район,Индивидуальные жилые дома
70,19136,0,кв.м,2023-06-30,Ауэзовский район,Многоквартирные жилые дома
71,12740,0,ед.,2024-09-30,Жетысуский район,ВУЗы
72,19137,0,кв.м,2023-06-30,Ауэзовский район,Индивидуальные жилые дома
73,19383,0,кв.м,2023-09-30,Ауэзовский район,Многоквартирные жилые дома
74,6714,0,ед.,2024-03-31,Наурызбайский район,ВУЗы
75,10532,0,чел.,2024-06-30,Наурызбайский район,Умершие от гипертонической болезни
76,3705,0,ед.,2023-12-31,Наурызбайский район,ВУЗы
77,4137,0,ед.,2023-12-31,Наурызбайский район,ВУЗы
78,7461,0.74,коэф.,2023-03-31,Жетысуский район,Коэффицент разводимости на 1000 человек
79,7691,0.78,коэф.,2023-06-30,Наурызбайский район,Коэффицент разводимости на 1000 человек
80,7921,0.81,коэф.,2023-12-31,Алатауский район,Коэффицент разводимости на 1000 человек
81,7737,0.81,коэф.,2023-09-30,Алатауский район,Коэффицент разводимости на 1000 человек
82,7507,0.82,коэф.,2023-03-31,Наурызбайский район,Коэффицент разводимости на 1000 человек
83,7484,0.84,коэф.,2023-03-31,Медеуский район,Коэффицент разводимости на 1000 человек
84,7392,0.86,коэф.,2023-03-31,Алмалинский район,Коэффицент разводимости на 1000 человек
85,7369,0.86,коэф.,2023-03-31,Алатауский район,Коэффицент разводимости на 1000 человек
86,7553,0.87,коэф.,2023-06-30,Алатауский район,Коэффицент разводимости на 1000 человек
